Date,Open,Close,High,Low,Volume,Change
2017-5-2,28.11,8.936,28.21,28.07,0.67K,-0.04%
2017-5-3,28,8.811,28.05,27.85,1.52K,-0.39%
2017-5-4,27.97,8.829,28.39,27.91,0.80K,-0.11%
2017-5-5,28.17,8.855,28.31,28.13,1.04K,0.72%
2017-5-8,28.03,8.818,28.2,27.95,0.28K,-0.50%
2017-5-9,27.9,8.799,28.07,27.6,0.65K,-0.46%
2017-5-10,27.9,8.793,27.9,27.77,0.23K,0.00%
2017-5-11,27.88,8.936,28.05,27.85,1.22K,-0.07%
2017-5-12,27.95,8.945,27.99,27.85,0.68K,0.25%
2017-5-15,28.07,9.036,28.1,28.01,0.09K,0.43%
2017-5-16,27.39,8.844,27.39,27.39,,-2.42%
2017-5-17,27.4,8.729,27.4,27.4,,0.04%
2017-5-18,28.58,8.457,28.58,28.58,,4.31%
2017-5-19,28.34,8.705,28.34,28.34,,-0.84%
2017-5-22,28.36,8.682,28.36,28.36,,0.07%
2017-5-23,27.86,8.52,27.86,27.86,,-1.76%
2017-5-24,27.6,8.421,27.6,27.6,,-0.93%
2017-5-25,27.55,8.411,27.55,27.55,,-0.18%
2017-5-26,27.53,8.443,27.53,27.53,,-0.07%
2017-5-29,27.72,8.511,27.72,27.72,,0.69%
2017-5-30,27.38,8.405,27.38,27.38,,-1.23%
2017-5-31,26.6,8.312,26.82,26.6,0.50K,-2.85%
2017-6-1,26.21,8.002,26.5,26,0.30K,-1.47%
2017-6-2,26.21,8.069,26.21,26.21,,0.00%
2017-6-5,26.02,7.889,26.02,26.01,0.03K,-0.72%
2017-6-6,26,7.963,26.11,26.11,0.00K,-0.08%
2017-6-7,26.6,8.135,26.6,26.6,0.03K,2.31%
2017-6-8,26.65,8.093,26.65,26.4,0.03K,0.19%
2017-6-9,26.85,8.129,26.85,26.8,0.01K,0.75%
2017-6-12,26.2,7.992,26.52,26.2,0.05K,-2.42%
2017-6-13,26.31,7.968,26.5,26.31,0.04K,0.42%
2017-6-14,26.45,8.108,26.6,26.45,0.04K,0.53%
2017-6-15,26.4,8.061,26.4,26.4,,-0.19%
2017-6-16,26.4,8.019,26.4,26.4,0.03K,0.00%
2017-6-19,26.4,8.039,26.4,26.4,0.03K,0.00%
2017-6-20,26.4,7.957,26.47,26.47,0.00K,0.00%
2017-6-21,26.4,7.92,26.42,26.42,0.00K,0.00%
2017-6-22,26.15,7.902,26.41,26.41,0.08K,-0.95%
2017-6-23,26,7.897,26.4,26.11,0.16K,-0.57%
2017-6-26,26,7.922,26.11,25.95,0.03K,0.00%
2017-6-27,25.6,7.649,25.9,25.35,0.23K,-1.54%
2017-6-28,25.46,7.699,25.46,25.25,0.06K,-0.55%
2017-6-29,25.51,7.717,25.49,25.49,0.00K,0.20%
2017-6-30,25.55,7.662,25.6,25.35,0.04K,0.16%
2017-7-3,25.35,7.603,25.6,25.1,0.04K,-0.78%
2017-7-4,25.72,7.705,26,25.5,0.06K,1.46%
2017-7-5,25.43,7.89,25.95,25.62,1.23K,-1.13%
2017-7-6,25.14,7.765,25.6,25.55,0.00K,-1.14%
2017-7-7,25.3,7.926,26.39,26,0.03K,0.64%
2017-7-10,26.3,8.141,26.5,26.41,0.01K,3.95%
2017-7-11,26.83,8.245,26.83,26.83,0.01K,2.02%
2017-7-12,26.45,8.417,27,26.55,0.01K,-1.42%
2017-7-13,26.3,8.235,26.45,26.25,0.01K,-0.57%
2017-7-14,26.7,8.24,26.65,26.2,0.06K,1.52%
2017-7-17,26.43,8.305,26.43,26.43,0.06K,-1.01%
2017-7-18,26.27,8.354,27.09,26.15,4.53K,-0.61%
2017-7-19,26.32,8.366,26.5,26.25,1.45K,0.19%
2017-7-20,26.61,8.459,26.74,26.4,1.81K,1.10%
2017-7-21,26.29,8.465,26.7,26.27,1.59K,-1.20%
2017-7-24,26.1,8.271,26.14,25.9,1.50K,-0.72%
2017-7-25,26.02,8.195,26.19,25.99,2.49K,-0.31%
2017-7-26,26,8.255,26.1,25.85,1.31K,-0.08%
2017-7-27,25.93,8.259,26.08,25.8,1.62K,-0.27%
2017-7-28,26.12,8.304,26.27,25.91,1.28K,0.73%
2017-7-31,26.15,8.29,26.2,25.85,1.15K,0.11%
2017-8-1,25.88,8.315,26.07,25.85,4.48K,-1.03%
2017-8-2,26.01,8.325,26.06,25.92,1.45K,0.50%
2017-8-3,25.98,8.289,26.2,25.61,2.94K,-0.12%
2017-8-4,26.16,8.325,26.47,25.95,1.63K,0.69%
2017-8-7,26.51,8.378,26.57,26.15,1.81K,1.34%
2017-8-8,26.61,8.452,26.73,26.42,1.35K,0.38%
2017-8-9,26.91,8.479,26.98,26.4,2.77K,1.13%
2017-8-10,27.01,8.494,27.3,26.7,6.36K,0.37%
2017-8-11,27.14,8.485,27.25,26.88,2.14K,0.48%
2017-8-14,27.36,8.527,27.45,27.16,2.16K,0.81%
2017-8-15,27.79,8.567,27.86,27.15,3.15K,1.57%
2017-8-16,27.84,8.803,28.19,27.73,3.86K,0.18%
2017-8-17,28.18,8.866,28.24,27.73,1.73K,1.22%
2017-8-18,28.63,9.057,28.83,28.35,3.21K,1.60%
2017-8-21,28.94,9.077,29.1,28.55,1.65K,1.08%
2017-8-22,27.97,9.119,28.85,27.8,2.69K,-3.35%
2017-8-23,27.65,8.864,27.9,27.4,1.51K,-1.14%
2017-8-24,27.82,8.768,27.9,27.5,1.29K,0.61%
2017-8-25,27.61,8.845,28,27.43,1.05K,-0.75%
2017-8-28,27.27,8.711,27.65,27.12,2.10K,-1.23%
2017-8-29,27.29,8.627,27.38,27.16,1.81K,0.07%
2017-8-30,27.21,8.568,27.25,26.96,1.53K,-0.29%
2017-8-31,27.62,8.673,27.75,27.29,3.31K,1.51%
2017-9-1,27.65,8.805,28.07,27.58,3.57K,0.11%
2017-9-4,27.57,8.793,27.74,27.43,1.22K,-0.29%
